Learning_Rate, Number_Trees, Max_Depth, Subsample 
0.001,20,1,0.5,0.467287897692
0.001,20,1,0.6,0.467287897692
0.001,20,1,0.7,0.467287897692
0.001,20,1,0.8,0.467287897692
0.001,20,1,0.9,0.467287897692
0.001,20,1,1.0,0.467287897692
0.005,20,1,0.5,0.467287897692
0.005,20,1,0.6,0.467287897692
0.005,20,1,0.7,0.467287897692
0.005,20,1,0.8,0.467287897692
0.005,20,1,0.9,0.467287897692
0.005,20,1,1.0,0.467287897692
0.01,20,1,0.5,0.366344354336
0.01,20,1,0.6,0.366383343731
0.01,20,1,0.7,0.366383343731
0.01,20,1,0.8,0.366110417966
0.01,20,1,0.9,0.360398471616
0.01,20,1,1.0,0.360398471616
0.05,20,1,0.5,0.354394104803
0.05,20,1,0.6,0.353906737367
0.05,20,1,0.7,0.354530567686
0.05,20,1,0.8,0.354706019963
0.05,20,1,0.9,0.355251871491
0.05,20,1,1.0,0.354472083593
0.1,20,1,0.5,0.350163755459
0.1,20,1,0.6,0.350280723643
0.1,20,1,0.7,0.348136306925
0.1,20,1,0.8,0.347960854648
0.1,20,1,0.9,0.348253275109
0.1,20,1,1.0,0.348214285714
0.5,20,1,0.5,0.324645196507
0.5,20,1,0.6,0.327413443543
0.5,20,1,0.7,0.328875545852
0.5,20,1,0.8,0.327043044292
0.5,20,1,0.9,0.328719588272
0.5,20,1,1.0,0.328895040549
1,20,1,0.5,0.321136150967
1,20,1,0.6,0.319791016843
1,20,1,0.7,0.319479101684
1,20,1,0.8,0.320707267623
1,20,1,0.9,0.320707267623
1,20,1,1.0,0.320609794136
5,20,1,0.5,0.467287897692
5,20,1,0.6,0.366383343731
5,20,1,0.7,0.364004990643
5,20,1,0.8,0.467287897692
5,20,1,0.9,0.463447442296
5,20,1,1.0,0.467287897692
0.001,20,2,0.5,0.467287897692
0.001,20,2,0.6,0.467287897692
0.001,20,2,0.7,0.467287897692
0.001,20,2,0.8,0.467287897692
0.001,20,2,0.9,0.467287897692
0.001,20,2,1.0,0.467287897692
0.005,20,2,0.5,0.369151590767
0.005,20,2,0.6,0.393013100437
0.005,20,2,0.7,0.393013100437
0.005,20,2,0.8,0.372153774173
0.005,20,2,0.9,0.393052089832
0.005,20,2,1.0,0.393052089832
0.01,20,2,0.5,0.363127729258
0.01,20,2,0.6,0.362367436057
0.01,20,2,0.7,0.362815814099
0.01,20,2,0.8,0.361782595134
0.01,20,2,0.9,0.361665626949
0.01,20,2,1.0,0.361626637555
0.05,20,2,0.5,0.352464129757
0.05,20,2,0.6,0.352639582034
0.05,20,2,0.7,0.351840299439
0.05,20,2,0.8,0.352990486588
0.05,20,2,0.9,0.352113225203
0.05,20,2,1.0,0.352620087336
0.1,20,2,0.5,0.34024095446
0.1,20,2,0.6,0.339968028696
0.1,20,2,0.7,0.338934809732
0.1,20,2,0.8,0.3368878665
0.1,20,2,0.9,0.336926855895
0.1,20,2,1.0,0.335425764192
0.5,20,2,0.5,0.313221303805
0.5,20,2,0.6,0.315053805365
0.5,20,2,0.7,0.314449469744
0.5,20,2,0.8,0.314858858391
0.5,20,2,0.9,0.315502183406
0.5,20,2,1.0,0.314293512165
1,20,2,0.5,0.31341625078
1,20,2,0.6,0.313240798503
1,20,2,0.7,0.31501481597
1,20,2,0.8,0.313318777293
1,20,2,0.9,0.313065346226
1,20,2,1.0,0.313903618216
5,20,2,0.5,0.532712102308
5,20,2,0.6,0.42979959451
5,20,2,0.7,0.454362913288
5,20,2,0.8,0.364336400499
5,20,2,0.9,0.410967716781
5,20,2,1.0,0.463778852152
0.001,20,3,0.5,0.467287897692
0.001,20,3,0.6,0.467287897692
0.001,20,3,0.7,0.467287897692
0.001,20,3,0.8,0.467287897692
0.001,20,3,0.9,0.467287897692
0.001,20,3,1.0,0.467287897692
0.005,20,3,0.5,0.369989862757
0.005,20,3,0.6,0.371529943855
0.005,20,3,0.7,0.371705396132
0.005,20,3,0.8,0.371529943855
0.005,20,3,0.9,0.373459918902
0.005,20,3,1.0,0.370945102932
0.01,20,3,0.5,0.35724033063
0.01,20,3,0.6,0.357766687461
0.01,20,3,0.7,0.358117592015
0.01,20,3,0.8,0.357376793512
0.01,20,3,0.9,0.357279320025
0.01,20,3,1.0,0.358585464754
0.05,20,3,0.5,0.338856830942
0.05,20,3,0.6,0.337102308172
0.05,20,3,0.7,0.338213505926
0.05,20,3,0.8,0.338057548347
0.05,20,3,0.9,0.33879834685
0.05,20,3,1.0,0.339344198378
0.1,20,3,0.5,0.327608390518
0.1,20,3,0.6,0.325658920774
0.1,20,3,0.7,0.325580941984
0.1,20,3,0.8,0.32682860262
0.1,20,3,0.9,0.327062538989
0.1,20,3,1.0,0.32606830942
0.5,20,3,0.5,0.312363537118
0.5,20,3,0.6,0.31417654398
0.5,20,3,0.7,0.310414067374
0.5,20,3,0.8,0.312051621959
0.5,20,3,0.9,0.311486275733
0.5,20,3,1.0,0.312714441672
1,20,3,0.5,0.313065346226
1,20,3,0.6,0.312285558328
1,20,3,0.7,0.31341625078
1,20,3,0.8,0.3117397068
1,20,3,0.9,0.312168590143
1,20,3,1.0,0.311525265128
5,20,3,0.5,0.363849033063
5,20,3,0.6,0.426953368684
5,20,3,0.7,0.388587804117
5,20,3,0.8,0.324255302558
5,20,3,0.9,0.483507485964
5,20,3,1.0,0.547528072364
0.001,50,1,0.5,0.467287897692
0.001,50,1,0.6,0.467287897692
0.001,50,1,0.7,0.467287897692
0.001,50,1,0.8,0.467287897692
0.001,50,1,0.9,0.467287897692
0.001,50,1,1.0,0.467287897692
0.005,50,1,0.5,0.361197754211
0.005,50,1,0.6,0.360710386775
0.005,50,1,0.7,0.360145040549
0.005,50,1,0.8,0.360300998129
0.005,50,1,0.9,0.360300998129
0.005,50,1,1.0,0.360398471616
0.01,50,1,0.5,0.358682938241
0.01,50,1,0.6,0.358682938241
0.01,50,1,0.7,0.358741422333
0.01,50,1,0.8,0.359287273862
0.01,50,1,0.9,0.358780411728
0.01,50,1,1.0,0.358721927636
0.05,50,1,0.5,0.347551466001
0.05,50,1,0.6,0.346810667498
0.05,50,1,0.7,0.346206331878
0.05,50,1,0.8,0.345972395508
0.05,50,1,0.9,0.346635215221
0.05,50,1,1.0,0.346771678104
0.1,50,1,0.5,0.339890049906
0.1,50,1,0.6,0.339519650655
0.1,50,1,0.7,0.338934809732
0.1,50,1,0.8,0.338466936993
0.1,50,1,0.9,0.337921085465
0.1,50,1,1.0,0.339071272614
0.5,50,1,0.5,0.317315190268
0.5,50,1,0.6,0.317159232689
0.5,50,1,0.7,0.317763568309
0.5,50,1,0.8,0.317841547099
0.5,50,1,0.9,0.318016999376
0.5,50,1,1.0,0.318114472863
1,50,1,0.5,0.315658140986
1,50,1,0.6,0.315580162196
1,50,1,0.7,0.315034310667
1,50,1,0.8,0.315697130381
1,50,1,0.9,0.314819868996
1,50,1,1.0,0.316593886463
5,50,1,0.5,0.467287897692
5,50,1,0.6,0.366383343731
5,50,1,0.7,0.364004990643
5,50,1,0.8,0.467287897692
5,50,1,0.9,0.463447442296
5,50,1,1.0,0.467287897692
0.001,50,2,0.5,0.467287897692
0.001,50,2,0.6,0.467287897692
0.001,50,2,0.7,0.467287897692
0.001,50,2,0.8,0.467287897692
0.001,50,2,0.9,0.467287897692
0.001,50,2,1.0,0.467287897692
0.005,50,2,0.5,0.361685121647
0.005,50,2,0.6,0.361568153462
0.005,50,2,0.7,0.361275733001
0.005,50,2,0.8,0.360885839052
0.005,50,2,0.9,0.360846849657
0.005,50,2,1.0,0.360788365565
0.01,50,2,0.5,0.35907283219
0.01,50,2,0.6,0.358565970056
0.01,50,2,0.7,0.358507485964
0.01,50,2,0.8,0.358429507174
0.01,50,2,0.9,0.358429507174
0.01,50,2,1.0,0.358312538989
0.05,50,2,0.5,0.331838739863
0.05,50,2,0.6,0.33185823456
0.05,50,2,0.7,0.332131160324
0.05,50,2,0.8,0.332443075483
0.05,50,2,0.9,0.33269650655
0.05,50,2,1.0,0.332404086089
0.1,50,2,0.5,0.321175140362
0.1,50,2,0.6,0.321526044916
0.1,50,2,0.7,0.321682002495
0.1,50,2,0.8,0.320434341859
0.1,50,2,0.9,0.321155645664
0.1,50,2,1.0,0.321214129757
0.5,50,2,0.5,0.31166172801
0.5,50,2,0.6,0.310550530256
0.5,50,2,0.7,0.31082345602
0.5,50,2,0.8,0.311135371179
0.5,50,2,0.9,0.30990720524
0.5,50,2,1.0,0.311856674984
1,50,2,0.5,0.312967872739
1,50,2,0.6,0.311681222707
1,50,2,0.7,0.313318777293
1,50,2,0.8,0.31242202121
1,50,2,0.9,0.31265595758
1,50,2,1.0,0.312558484092
5,50,2,0.5,0.532712102308
5,50,2,0.6,0.42979959451
5,50,2,0.7,0.454362913288
5,50,2,0.8,0.364336400499
5,50,2,0.9,0.410967716781
5,50,2,1.0,0.463778852152
0.001,50,3,0.5,0.431651590767
0.001,50,3,0.6,0.431768558952
0.001,50,3,0.7,0.431066749844
0.001,50,3,0.8,0.431066749844
0.001,50,3,0.9,0.431066749844
0.001,50,3,1.0,0.431066749844
0.005,50,3,0.5,0.355427323768
0.005,50,3,0.6,0.355466313163
0.005,50,3,0.7,0.35571974423
0.005,50,3,0.8,0.355739238927
0.005,50,3,0.9,0.355739238927
0.005,50,3,1.0,0.355154398004
0.01,50,3,0.5,0.345913911416
0.01,50,3,0.6,0.34626481597
0.01,50,3,0.7,0.345485028072
0.01,50,3,0.8,0.345524017467
0.01,50,3,0.9,0.345913911416
0.01,50,3,1.0,0.345913911416
0.05,50,3,0.5,0.322988147224
0.05,50,3,0.6,0.323592482845
0.05,50,3,0.7,0.322052401747
0.05,50,3,0.8,0.32279320025
0.05,50,3,0.9,0.32271522146
0.05,50,3,1.0,0.323904398004
0.1,50,3,0.5,0.315541172801
0.1,50,3,0.6,0.314488459139
0.1,50,3,0.7,0.314839363693
0.1,50,3,0.8,0.314410480349
0.1,50,3,0.9,0.314429975047
0.1,50,3,1.0,0.314215533375
0.5,50,3,0.5,0.312207579538
0.5,50,3,0.6,0.310277604492
0.5,50,3,0.7,0.30982922645
0.5,50,3,0.8,0.309809731753
0.5,50,3,0.9,0.308679039301
0.5,50,3,1.0,0.310589519651
1,50,3,0.5,0.314371490954
1,50,3,0.6,0.314293512165
1,50,3,0.7,0.312850904554
1,50,3,0.8,0.312538989395
1,50,3,0.9,0.313279787898
1,50,3,1.0,0.311564254523
5,50,3,0.5,0.363849033063
5,50,3,0.6,0.426953368684
5,50,3,0.7,0.388587804117
5,50,3,0.8,0.324255302558
5,50,3,0.9,0.483507485964
5,50,3,1.0,0.547528072364
0.001,100,1,0.5,0.467287897692
0.001,100,1,0.6,0.467287897692
0.001,100,1,0.7,0.467287897692
0.001,100,1,0.8,0.467287897692
0.001,100,1,0.9,0.467287897692
0.001,100,1,1.0,0.467287897692
0.005,100,1,0.5,0.358858390518
0.005,100,1,0.6,0.358819401123
0.005,100,1,0.7,0.358858390518
0.005,100,1,0.8,0.358799906425
0.005,100,1,0.9,0.358799906425
0.005,100,1,1.0,0.358721927636
0.01,100,1,0.5,0.355271366188
0.01,100,1,0.6,0.354628041173
0.01,100,1,0.7,0.354491578291
0.01,100,1,0.8,0.354920461634
0.01,100,1,0.9,0.35472551466
0.01,100,1,1.0,0.354530567686
0.05,100,1,0.5,0.339461166563
0.05,100,1,0.6,0.339051777916
0.05,100,1,0.7,0.338544915783
0.05,100,1,0.8,0.337784622583
0.05,100,1,0.9,0.339441671865
0.05,100,1,1.0,0.339032283219
0.1,100,1,0.5,0.329655333749
0.1,100,1,0.6,0.330006238303
0.1,100,1,0.7,0.329791796631
0.1,100,1,0.8,0.329109482221
0.1,100,1,0.9,0.330591079226
0.1,100,1,1.0,0.33025966937
0.5,100,1,0.5,0.313942607611
0.5,100,1,0.6,0.313903618216
0.5,100,1,0.7,0.313279787898
0.5,100,1,0.8,0.314683406114
0.5,100,1,0.9,0.313845134124
0.5,100,1,1.0,0.315736119775
1,100,1,0.5,0.311076887087
1,100,1,0.6,0.31242202121
1,100,1,0.7,0.313065346226
1,100,1,0.8,0.313143325016
1,100,1,0.9,0.312188084841
1,100,1,1.0,0.312948378041
5,100,1,0.5,0.467287897692
5,100,1,0.6,0.366383343731
5,100,1,0.7,0.364004990643
5,100,1,0.8,0.467287897692
5,100,1,0.9,0.463447442296
5,100,1,1.0,0.467287897692
0.001,100,2,0.5,0.371997816594
0.001,100,2,0.6,0.369034622583
0.001,100,2,0.7,0.37172489083
0.001,100,2,0.8,0.374571116656
0.001,100,2,0.9,0.393013100437
0.001,100,2,1.0,0.393052089832
0.005,100,2,0.5,0.358975358702
0.005,100,2,0.6,0.358682938241
0.005,100,2,0.7,0.358429507174
0.005,100,2,0.8,0.358487991266
0.005,100,2,0.9,0.358663443543
0.005,100,2,1.0,0.358176076107
0.01,100,2,0.5,0.35228867748
0.01,100,2,0.6,0.352113225203
0.01,100,2,0.7,0.352503119152
0.01,100,2,0.8,0.352113225203
0.01,100,2,0.9,0.352854023706
0.01,100,2,1.0,0.352542108546
0.05,100,2,0.5,0.32179897068
0.05,100,2,0.6,0.321350592639
0.05,100,2,0.7,0.322500779788
0.05,100,2,0.8,0.32187694947
0.05,100,2,0.9,0.321389582034
0.05,100,2,1.0,0.321623518403
0.1,100,2,0.5,0.315346225827
0.1,100,2,0.6,0.313728165939
0.1,100,2,0.7,0.3140205864
0.1,100,2,0.8,0.313903618216
0.1,100,2,0.9,0.314429975047
0.1,100,2,1.0,0.313903618216
0.5,100,2,0.5,0.311349812851
0.5,100,2,0.6,0.310686993138
0.5,100,2,0.7,0.309478321896
0.5,100,2,0.8,0.31006316282
0.5,100,2,0.9,0.309439332502
0.5,100,2,1.0,0.310024173425
1,100,2,0.5,0.312441515908
1,100,2,0.6,0.312480505303
1,100,2,0.7,0.311447286338
1,100,2,0.8,0.313299282595
1,100,2,0.9,0.311700717405
1,100,2,1.0,0.313123830318
5,100,2,0.5,0.532712102308
5,100,2,0.6,0.42979959451
5,100,2,0.7,0.454362913288
5,100,2,0.8,0.364336400499
5,100,2,0.9,0.410967716781
5,100,2,1.0,0.463778852152
0.001,100,3,0.5,0.372758109794
0.001,100,3,0.6,0.373031035558
0.001,100,3,0.7,0.37324547723
0.001,100,3,0.8,0.373225982533
0.001,100,3,0.9,0.373225982533
0.001,100,3,1.0,0.371296007486
0.005,100,3,0.5,0.346225826575
0.005,100,3,0.6,0.34642077355
0.005,100,3,0.7,0.34550452277
0.005,100,3,0.8,0.345991890206
0.005,100,3,0.9,0.34634279476
0.005,100,3,1.0,0.345835932626
0.01,100,3,0.5,0.338466936993
0.01,100,3,0.6,0.338603399875
0.01,100,3,0.7,0.338155021834
0.01,100,3,0.8,0.339188240799
0.01,100,3,0.9,0.339168746101
0.01,100,3,1.0,0.340104491578
0.05,100,3,0.5,0.314839363693
0.05,100,3,0.6,0.314995321273
0.05,100,3,0.7,0.314410480349
0.05,100,3,0.8,0.314839363693
0.05,100,3,0.9,0.314644416719
0.05,100,3,1.0,0.314644416719
0.1,100,3,0.5,0.30998518403
0.1,100,3,0.6,0.310199625702
0.1,100,3,0.7,0.31066749844
0.1,100,3,0.8,0.311622738615
0.1,100,3,0.9,0.31158374922
0.1,100,3,1.0,0.310998908297
0.5,100,3,0.5,0.312383031815
0.5,100,3,0.6,0.310024173425
0.5,100,3,0.7,0.31090143481
0.5,100,3,0.8,0.309595290081
0.5,100,3,0.9,0.30838661884
0.5,100,3,1.0,0.310238615097
1,100,3,0.5,0.319264660012
1,100,3,0.6,0.317237211478
1,100,3,0.7,0.316379444791
1,100,3,0.8,0.314371490954
1,100,3,0.9,0.313455240175
1,100,3,1.0,0.314390985652
5,100,3,0.5,0.363849033063
5,100,3,0.6,0.426953368684
5,100,3,0.7,0.388587804117
5,100,3,0.8,0.324255302558
5,100,3,0.9,0.483507485964
5,100,3,1.0,0.547528072364
0.001,500,1,0.5,0.358741422333
0.001,500,1,0.6,0.35883889582
0.001,500,1,0.7,0.358819401123
0.001,500,1,0.8,0.358682938241
0.001,500,1,0.9,0.358780411728
0.001,500,1,1.0,0.358721927636
0.005,500,1,0.5,0.346947130381
0.005,500,1,0.6,0.346323300062
0.005,500,1,0.7,0.346771678104
0.005,500,1,0.8,0.346518247037
0.005,500,1,0.9,0.346849656893
0.005,500,1,1.0,0.347005614473
0.01,500,1,0.5,0.338954304429
0.01,500,1,0.6,0.338700873362
0.01,500,1,0.7,0.339032283219
0.01,500,1,0.8,0.338856830942
0.01,500,1,0.9,0.339597629445
0.01,500,1,1.0,0.339324703681
0.05,500,1,0.5,0.317724578915
0.05,500,1,0.6,0.317237211478
0.05,500,1,0.7,0.317744073612
0.05,500,1,0.8,0.318016999376
0.05,500,1,0.9,0.317841547099
0.05,500,1,1.0,0.31828992514
0.1,500,1,0.5,0.313552713662
0.1,500,1,0.6,0.313884123518
0.1,500,1,0.7,0.314157049283
0.1,500,1,0.8,0.314313006862
0.1,500,1,0.9,0.314956331878
0.1,500,1,1.0,0.314917342483
0.5,500,1,0.5,0.310589519651
0.5,500,1,0.6,0.310043668122
0.5,500,1,0.7,0.309614784779
0.5,500,1,0.8,0.30922489083
0.5,500,1,0.9,0.309478321896
0.5,500,1,1.0,0.310004678727
1,500,1,0.5,0.31150577043
1,500,1,0.6,0.311291328759
1,500,1,0.7,0.309965689333
1,500,1,0.8,0.309595290081
1,500,1,0.9,0.31090143481
1,500,1,1.0,0.310082657517
5,500,1,0.5,0.467287897692
5,500,1,0.6,0.366383343731
5,500,1,0.7,0.364004990643
5,500,1,0.8,0.467287897692
5,500,1,0.9,0.463447442296
5,500,1,1.0,0.467287897692
0.001,500,2,0.5,0.358546475359
0.001,500,2,0.6,0.358429507174
0.001,500,2,0.7,0.358429507174
0.001,500,2,0.8,0.358604959451
0.001,500,2,0.9,0.358526980661
0.001,500,2,1.0,0.3582345602
0.005,500,2,0.5,0.33201419214
0.005,500,2,0.6,0.331760761073
0.005,500,2,0.7,0.331585308796
0.005,500,2,0.8,0.331487835309
0.005,500,2,0.9,0.33185823456
0.005,500,2,1.0,0.332501559576
0.01,500,2,0.5,0.321623518403
0.01,500,2,0.6,0.321779475983
0.01,500,2,0.7,0.322266843419
0.01,500,2,0.8,0.322520274485
0.01,500,2,0.9,0.322500779788
0.01,500,2,1.0,0.321623518403
0.05,500,2,0.5,0.310394572676
0.05,500,2,0.6,0.309556300686
0.05,500,2,0.7,0.309887710543
0.05,500,2,0.8,0.310375077979
0.05,500,2,0.9,0.310316593886
0.05,500,2,1.0,0.310725982533
0.1,500,2,0.5,0.308796007486
0.1,500,2,0.6,0.308523081722
0.1,500,2,0.7,0.308289145352
0.1,500,2,0.8,0.309322364317
0.1,500,2,0.9,0.308971459763
0.1,500,2,1.0,0.309107922645
0.5,500,2,0.5,0.311388802246
0.5,500,2,0.6,0.311525265128
0.5,500,2,0.7,0.309595290081
0.5,500,2,0.8,0.310998908297
0.5,500,2,0.9,0.310589519651
0.5,500,2,1.0,0.310492046163
1,500,2,0.5,0.316067529632
1,500,2,0.6,0.318114472863
1,500,2,0.7,0.316281971304
1,500,2,0.8,0.314819868996
1,500,2,0.9,0.313006862133
1,500,2,1.0,0.313942607611
5,500,2,0.5,0.532712102308
5,500,2,0.6,0.42979959451
5,500,2,0.7,0.454362913288
5,500,2,0.8,0.364336400499
5,500,2,0.9,0.410967716781
5,500,2,1.0,0.463778852152
0.001,500,3,0.5,0.346050374298
0.001,500,3,0.6,0.345894416719
0.001,500,3,0.7,0.345796943231
0.001,500,3,0.8,0.345524017467
0.001,500,3,0.9,0.34542654398
0.001,500,3,1.0,0.345972395508
0.005,500,3,0.5,0.322929663132
0.005,500,3,0.6,0.322442295696
0.005,500,3,0.7,0.322773705552
0.005,500,3,0.8,0.322910168434
0.005,500,3,0.9,0.323300062383
0.005,500,3,1.0,0.323767935122
0.01,500,3,0.5,0.315131784155
0.01,500,3,0.6,0.314800374298
0.01,500,3,0.7,0.314722395508
0.01,500,3,0.8,0.314917342483
0.01,500,3,0.9,0.314858858391
0.01,500,3,1.0,0.31501481597
0.05,500,3,0.5,0.307684809732
0.05,500,3,0.6,0.307665315034
0.05,500,3,0.7,0.307801777916
0.05,500,3,0.8,0.308367124142
0.05,500,3,0.9,0.308523081722
0.05,500,3,1.0,0.30906893325
0.1,500,3,0.5,0.308425608235
0.1,500,3,0.6,0.307119463506
0.1,500,3,0.7,0.309107922645
0.1,500,3,0.8,0.308250155958
0.1,500,3,0.9,0.308425608235
0.1,500,3,1.0,0.308854491578
0.5,500,3,0.5,0.31836790393
0.5,500,3,0.6,0.315677635683
0.5,500,3,0.7,0.317334684966
0.5,500,3,0.8,0.314157049283
0.5,500,3,0.9,0.314196038677
0.5,500,3,1.0,0.313474734872
1,500,3,0.5,0.322500779788
1,500,3,0.6,0.319693543356
1,500,3,0.7,0.323222083593
1,500,3,0.8,0.323728945727
1,500,3,0.9,0.318933250156
1,500,3,1.0,0.323709451029
5,500,3,0.5,0.363849033063
5,500,3,0.6,0.426953368684
5,500,3,0.7,0.388587804117
5,500,3,0.8,0.324255302558
5,500,3,0.9,0.483507485964
5,500,3,1.0,0.547528072364
