,Player1,Player2,D,DD,DDD,DDL,DDV,DL,DLD,DLL,DLV,DV,DVD,DVL,DVV,L,LD,LDD,LDL,LDV,LL,LLD,LLL,LLV,LV,LVD,LVL,LVV,V,VD,VDD,VDL,VDV,VL,VLD,VLL,VLV,VV,VVD,VVL,VVV
0,32,11931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
1,32,37342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2,32,38368,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,33,27462,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,
4,61,14934,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
5,61,16681,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
6,70,2127,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,70,18175,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
8,70,50412,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,78,3757,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
10,78,19748,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,
11,78,29951,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,1.0,,,1.0
12,102,4883,,1.0,2.0,1.0,1.0,,,,1.0,,,1.0,,,,1.0,,,,,1.0,,1.0,,,,,,,1.0,,,,1.0,1.0,,,1.0,
13,102,10012,,1.0,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,1.0,
14,102,44602,,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,1.0,
15,116,12763,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,2.0,2.0,,,
16,116,41797,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,1.0,,,,2.0,,,,
17,125,14742,,,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,1.0,,1.0,,,,,1.0,,,3.0,,,3.0,1.0
18,125,19176,,,,,,,,,,,,,,1.0,,,,,,,1.0,3.0,,,3.0,2.0,,,,,,,,,,,,,
19,125,25319,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,1.0,1.0,1.0,,1.0,
20,125,29399,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,2.0,2.0,,2.0,
21,125,34569,,,,,,,,,,,,,,1.0,,,,1.0,,,,4.0,1.0,,4.0,,,,,,,,,,2.0,,,1.0,
22,125,35883,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,2.0,,,1.0,1.0,,,1.0,,,,,,1.0,,,,2.0
23,143,3594,,,1.0,3.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,143,8812,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0
25,143,9725,,,,,,,,,1.0,3.0,,,4.0,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,5.0,2.0,1.0,,1.0
26,143,39689,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,4.0,,,,,,1.0,,,,,,1.0,,,,,,,,4.0,,2.0,,,,2.0,1.0
27,143,40477,1.0,,2.0,1.0,,,,,1.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,1.0,,,2.0,
28,143,48555,,2.0,4.0,,,,3.0,,,,2.0,,,,1.0,,,,,,,,,2.0,,,,1.0,3.0,,,,3.0,,,,2.0,,
29,147,17205,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
30,147,24306,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
31,147,35903,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,
32,147,37537,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,
33,376,2199,,,,1.0,,,1.0,,1.0,,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,2.0,,,,,,,,,2.0,1.0,,,2.0,
34,376,14412,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,1.0,,,1.0,4.0,,,2.0,
35,376,16360,,1.0,,,,,1.0,,,,,,,,,,,,,1.0,,2.0,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,,,1.0,,,1.0
36,376,33187,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,3.0,,1.0,,1.0,
37,376,37471,,,,,,1.0,,1.0,1.0,,,,,,,,1.0,2.0,,,3.0,1.0,,,1.0,,,,,,,1.0,,1.0,,,,,
38,376,40593,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,1.0,,,,,1.0,,,
39,376,44200,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,,
40,618,48920,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
41,624,5018,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,2.0,1.0,1.0,1.0,2.0
42,624,15085,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,
43,624,16077,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,3.0,1.0,,,1.0,
44,624,18248,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,1.0,,,,
45,624,19176,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,2.0,,,,,,,,2.0,,,,,
46,624,32369,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,,2.0,,,,,
47,624,38605,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,1.0,,2.0,,,,1.0,
48,627,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
49,627,25513,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,
50,627,35047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
51,627,38358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
52,694,7531,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
53,694,23503,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
54,694,48305,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,
55,713,5043,1.0,1.0,,5.0,,1.0,1.0,1.0,,,,6.0,,,,,,,,,,,,,,,,,1.0,2.0,,2.0,,3.0,,,,1.0,
56,713,36428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,
57,789,4772,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
58,789,27478,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,789,35542,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
60,789,36801,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
61,815,50604,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
62,836,5192,,,,1.0,,,,,2.0,2.0,,,1.0,,,,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,
63,836,33533,1.0,,,1.0,,1.0,,,3.0,,,3.0,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,
64,856,53088,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
65,877,6713,,1.0,1.0,,,1.0,,,,,2.0,2.0,,1.0,,,,,,,,,,,4.0,,,2.0,1.0,,,2.0,2.0,3.0,,,,2.0,
66,877,10232,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,2.0,,1.0,,,1.0,
67,877,25554,,,,,1.0,,,,1.0,,,,2.0,,,,,,,,,,1.0,,,1.0,,,,,2.0,,,2.0,3.0,3.0,,1.0,1.0
68,877,49386,1.0,,,1.0,1.0,,,,1.0,,,2.0,,,,,,,,,,,1.0,,1.0,,,,,,1.0,2.0,,1.0,1.0,,,,
69,973,35835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
70,973,50047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
71,1010,17277,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,
72,1010,45985,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
73,1053,16056,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,1053,17896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
75,1053,25513,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,1200,116,,,,,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,1.0,,,2.0,,,5.0,
77,1200,1769,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,
78,1200,46532,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,
79,1217,1239,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,2.0
80,1217,20506,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,2.0
81,1217,38896,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0
82,1217,52033,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,
83,1239,4005,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,1.0,,,,
84,1264,12162,,,,2.0,,,,,1.0,,,,1.0,,,,,2.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,4.0,,,3.0,
85,1264,13058,,,,,,1.0,1.0,1.0,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,1.0
86,1264,23362,1.0,,,,,,,1.0,3.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,
87,1264,27965,,,,,,,1.0,,,,,,,,1.0,1.0,,,1.0,,1.0,1.0,,,1.0,,,,,1.0,,1.0,,,,,,,
88,1264,31404,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,3.0,1.0,,1.0,
89,1290,17604,1.0,,,2.0,1.0,2.0,,1.0,2.0,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1290,44441,1.0,,,,1.0,,,,2.0,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
91,1290,45807,1.0,1.0,1.0,,,,,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
92,1305,2127,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1353,8356,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,1.0,,
94,1429,34897,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
95,1500,3244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
96,1500,29909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,2.0,
97,1500,36367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,
98,1500,39224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
99,1597,17802,,,,1.0,,,1.0,2.0,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,,
100,1597,19276,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,
101,1597,23362,,,,,1.0,,1.0,,1.0,,,,,,,1.0,,2.0,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,
102,1597,33181,,,,,,,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,,,,,3.0,,,4.0,,,,,,,,,,,,,,
