WTEID,MonthID,WhitePlayer,BlackPlayer,WhiteScore,Leaderboard
1,10961,1103,1420,1,0
2,10961,1104,1406,1,0
3,10961,1112,1291,1,0
4,10961,1113,1152,1,0
5,10961,1119,1102,1,0
6,10961,1120,1454,1,0
7,10961,1124,1270,1,0
8,10961,1130,1306,1,0
9,10961,1135,1389,1,0
10,10961,1137,1265,1,0
11,10961,1138,1355,1,0
12,10961,1140,1253,1,0
13,10961,1143,1108,1,0
14,10961,1279,1149,0,1
15,10961,1153,1384,1,0
16,10961,1155,1197,1,0
17,10961,1202,1158,0,0
18,10961,1160,1180,1,0
19,10961,1163,1136,1,0
20,10961,1206,1165,0,0
21,10961,1166,1146,1,0
22,10961,1173,1105,1,0
23,10961,1177,1227,1,0
24,10961,1181,1342,1,0
25,10961,1184,1366,1,0
26,10961,1186,1411,1,0
27,10961,1189,1194,1,0
28,10961,1386,1192,0,0
29,10961,1196,1456,1,0
30,10961,1203,1212,1,0
31,10961,1210,1208,1,0
32,10961,1211,1170,1,0
33,10961,1218,1115,1,0
34,10961,1220,1239,1,0
35,10961,1293,1222,0,0
36,10961,1228,1204,1,0
37,10961,1231,1290,1,0
38,10961,1237,1232,0,1
39,10961,1233,1156,1,0
40,10961,1234,1214,1,0
41,10961,1235,1324,1,0
42,10961,1242,1364,1,0
43,10961,1243,1381,1,0
44,10961,1246,1213,1,0
45,10961,1352,1248,0,0
46,10961,1380,1256,0,0
47,10961,1258,1369,1,0
48,10961,1266,1404,1,0
49,10961,1267,1240,1,0
50,10961,1268,1447,1,0
51,10961,1269,1373,1,0
52,10961,1274,1224,1,0
53,10961,1298,1277,0,0
54,10961,1280,1441,1,0
55,10961,1281,1282,0,0
56,10961,1283,1183,1,0
57,10961,1301,1238,1,0
58,10961,1307,1226,1,0
59,10961,1314,1300,1,0
60,10961,1321,1223,1,0
61,10961,1323,1127,1,0
62,10961,1326,1262,1,0
63,10961,1329,1368,1,0
64,10961,1332,1164,1,0
65,10961,1333,1349,1,0
66,10961,1442,1334,0,1
67,10961,1336,1288,1,0
68,10961,1337,1201,1,0
69,10961,1338,1310,1,0
70,10961,1343,1351,1,0
