WTEID,MonthID,WhitePlayer,BlackPlayer,WhiteScore,Leaderboard
1651,201408,67,32,1.0,E0
1652,201408,138,86,0.5,E0
1653,201408,3,114,0.0,E0
1654,201408,13,9,0.0,E0
1655,201408,123,42,0.0,E0
1656,201408,136,141,0.5,E0
1657,201408,19,31,0.0,E0
1658,201408,8,53,1.0,E0
1659,201408,12,65,0.0,E0
1660,201408,117,98,0.0,E0
1661,201408,42,12,0.5,E0
1662,201408,98,138,1.0,E0
1663,201408,32,19,0.0,E0
1664,201408,86,67,0.5,E0
1665,201408,53,136,0.5,E0
1666,201408,114,117,1.0,E0
1667,201408,9,123,0.5,E0
1668,201408,141,3,0.5,E0
1669,201408,31,13,1.0,E0
1670,201408,65,8,1.0,E0
1671,201408,117,3,0.5,E0
1672,201408,86,98,0.0,E0
1673,201408,65,123,0.0,E0
1674,201408,12,32,0.5,E0
1675,201408,13,141,1.0,E0
1676,201408,114,136,1.0,E0
1677,201408,19,53,0.0,E0
1678,201408,42,9,1.0,E0
1679,201408,138,67,0.5,E0
1680,201408,31,8,0.0,E0
1681,201409,67,65,0.5,E0
1682,201409,98,114,1.0,E0
1683,201409,32,117,0.5,E0
1684,201409,8,42,0.0,E0
1685,201409,53,12,1.0,E0
1686,201409,123,138,0.0,E0
1687,201409,141,31,0.5,E0
1688,201409,136,86,0.0,E0
1689,201409,3,13,1.0,E0
1690,201409,9,19,0.5,E0
1691,201409,42,67,0.0,E0
1692,201409,117,141,0.5,E0
1693,201409,12,9,0.5,E0
1694,201409,13,123,0.5,E0
1695,201409,114,53,0.0,E0
1696,201409,19,8,1.0,E0
1697,201409,86,32,0.0,E0
1698,201409,138,3,1.0,E0
1699,201409,65,98,0.5,E0
1700,201409,31,136,0.0,E0
1701,201409,67,31,0.5,E0
1702,201409,98,42,1.0,E0
1703,201409,32,138,1.0,E0
1704,201409,9,65,0.0,E0
1705,201409,8,86,0.5,E0
1706,201409,3,19,1.0,E0
1707,201409,53,13,1.0,E0
1708,201409,141,114,0.5,E0
1709,201409,136,117,1.0,E0
1710,201409,123,12,1.0,E0
1721,201410,67,9,0.5,E0
1722,201410,117,19,0.0,E0
1723,201410,32,98,0.0,E0
1724,201410,86,42,1.0,E0
1725,201410,65,31,1.0,E0
1726,201410,12,138,1.0,E0
1727,201410,53,141,1.0,E0
1728,201410,13,8,0.0,E0
1729,201410,123,114,1.0,E0
1730,201410,136,3,0.5,E0
1731,201410,8,9,0.5,E0
1732,201410,53,123,1.0,E0
1733,201410,141,67,0.0,E0
1734,201410,114,138,1.0,E0
1735,201410,136,32,0.5,E0
1736,201410,19,65,1.0,E0
1737,201410,117,86,0.0,E0
1738,201410,3,98,0.5,E0
1739,201410,31,12,0.0,E0
1740,201410,13,42,1.0,E0
1751,201408,117,9,1.0,E0
1752,201408,8,98,0.0,E0
1753,201408,3,32,1.0,E0
1754,201408,13,65,0.5,E0
1755,201408,53,138,1.0,E0
1756,201408,19,42,0.5,E0
1757,201409,141,86,0.5,E0
1758,201409,114,67,1.0,E0
1759,201409,31,123,0.0,E0
1760,201409,136,12,0.0,E0
1761,201411,67,3,0.0,E0
1762,201411,98,136,1.0,E0
1763,201411,86,19,1.0,E0
1764,201411,138,141,0.5,E0
1765,201411,65,114,1.0,E0
1766,201411,12,13,1.0,E0
1767,201411,123,117,0.0,E0
1768,201411,32,8,1.0,E0
1769,201411,9,31,0.0,E0
1770,201411,42,53,0.5,E0
1771,201411,117,42,0.5,E0
1772,201411,8,123,1.0,E0
1773,201411,3,9,1.0,E0
1774,201411,13,138,1.0,E0
1775,201411,141,98,0.5,E0
1776,201411,114,32,0.5,E0
1777,201411,136,67,0.0,E0
1778,201411,19,12,1.0,E0
1779,201411,53,65,0.0,E0
1780,201411,31,86,1.0,E0
1798,201407,42,138,1.0,E0
1799,201407,19,114,1.0,E0
1800,201408,53,3,0.0,E0
1801,201412,67,12,1.0,E0
1802,201412,117,53,1.0,E0
1803,201412,98,9,1.0,E0
1804,201412,32,123,0.5,E0
1805,201412,138,65,0.0,E0
1806,201412,141,19,0.5,E0
1807,201412,136,42,1.0,E0
1808,201412,3,8,1.0,E0
1809,201412,114,31,0.0,E0
1810,201412,86,13,1.0,E0
1811,201412,42,3,0.5,E0
1812,201412,9,114,0.0,E0
1813,201412,65,32,1.0,E0
1814,201412,13,136,1.0,E0
1815,201412,53,86,1.0,E0
1816,201412,31,117,1.0,E0
1817,201412,19,138,1.0,E0
1818,201412,8,67,0.5,E0
1819,201412,12,141,0.0,E0
1820,201412,123,98,0.0,E0
1821,201412,67,13,1.0,E0
1822,201412,117,8,0.0,E0
1823,201412,98,19,1.0,E0
1824,201412,32,53,0.0,E0
1825,201412,86,123,0.0,E0
1826,201412,138,31,0.0,E0
1827,201412,3,12,1.0,E0
1828,201412,141,9,0.0,E0
1829,201412,114,42,1.0,E0
1830,201412,136,65,0.0,E0
1831,201412,42,141,0.5,E0
1832,201412,9,138,0.0,E0
1833,201412,65,117,0.5,E0
1834,201412,12,86,1.0,E0
1835,201412,13,32,0.5,E0
1836,201412,53,98,0.5,E0
1837,201412,123,136,1.0,E0
1838,201412,31,3,0.5,E0
1839,201412,19,67,0.0,E0
1840,201412,8,114,1.0,E0
2231,201411,144,19,0.0,E0
2232,201411,86,115,1.0,E0
2233,201411,120,141,0.0,E0
2234,201411,9,98,0.0,E0
2235,201411,3,114,1.0,E0
2236,201411,53,136,1.0,E0
2237,201411,31,32,1.0,E0
2238,201412,12,65,0.0,E0
2239,201412,123,8,0.0,E0
2271,201408,42,19,0.0,E0
