WTEID,MonthID,WhitePlayer,BlackPlayer,WhiteScore,Leaderboard
1,200808,67,136,1.0,E0
2,200808,116,123,1.0,E0
3,200808,86,47,0.0,E0
4,200808,9,120,1.0,E0
5,200808,69,31,1.0,E0
6,200808,141,8,0.0,E0
7,200808,19,48,1.0,E0
8,200808,42,65,1.0,E0
9,200808,98,62,1.0,E0
10,200808,3,12,0.5,E0
11,200808,47,9,0.5,E0
12,200808,120,67,1.0,E0
13,200808,8,69,1.0,E0
14,200808,12,116,1.0,E0
15,200808,123,42,1.0,E0
16,200808,31,141,0.0,E0
17,200808,136,86,0.0,E0
18,200808,65,19,1.0,E0
19,200808,48,98,0.0,E0
20,200808,62,3,0.0,E0
21,200808,67,12,1.0,E0
22,200808,116,136,0.5,E0
23,200808,86,62,0.0,E0
24,200808,9,48,0.0,E0
25,200808,69,123,1.0,E0
26,200808,19,47,1.0,E0
27,200808,42,8,0.5,E0
28,200808,98,31,0.5,E0
29,200808,141,65,0.0,E0
30,200809,47,67,0.0,E0
31,200809,120,116,1.0,E0
32,200809,8,3,1.0,E0
33,200809,65,98,0.0,E0
34,200809,12,9,0.0,E0
35,200809,62,69,1.0,E0
36,200809,136,19,1.0,E0
37,200809,48,141,0.5,E0
38,200809,123,86,0.0,E0
39,200809,31,42,0.0,E0
40,200809,47,120,1.0,E0
41,200809,116,67,0.0,E0
42,200809,8,123,0.5,E0
43,200809,141,69,1.0,E0
44,200809,19,12,1.0,E0
45,200809,98,3,0.5,E0
46,200809,9,86,0.5,E0
47,200809,65,62,1.0,E0
48,200809,31,48,0.5,E0
49,200809,136,42,0.0,E0
50,200809,67,9,0.0,E0
51,200809,42,141,1.0,E0
52,200809,86,8,0.0,E0
53,200809,120,19,0.0,E0
54,200809,3,116,1.0,E0
55,200809,69,136,0.0,E0
56,200809,12,47,0.0,E0
57,200809,123,98,0.0,E0
58,200809,62,31,1.0,E0
59,200809,48,65,1.0,E0
60,200804,47,3,0.0,E0
61,200804,141,67,0.5,E0
62,200804,136,120,1.0,E0
63,200804,48,69,0.0,E0
64,200805,98,42,1.0,E0
65,200805,86,12,0.5,E0
66,200805,65,8,0.0,E0
67,200805,62,123,1.0,E0
68,200805,31,9,0.0,E0
69,200805,19,116,0.0,E0
70,200810,67,86,1.0,E0
71,200810,42,62,0.5,E0
72,200810,116,47,0.5,E0
73,200810,120,141,0.5,E0
74,200810,8,48,1.0,E0
75,200810,3,136,1.0,E0
76,200810,69,98,0.0,E0
77,200810,9,19,1.0,E0
78,200810,123,31,1.0,E0
79,200810,12,65,0.5,E0
80,200810,47,69,0.5,E0
81,200810,86,3,0.5,E0
82,200810,141,12,1.0,E0
83,200810,136,9,0.0,E0
84,200810,98,8,0.0,E0
85,200810,65,123,1.0,E0
86,200810,62,120,0.5,E0
87,200810,31,116,1.0,E0
88,200810,19,67,0.0,E0
89,200810,48,42,0.0,E0
90,200810,12,136,1.0,E0
91,200810,67,31,0.5,E0
92,200810,42,47,1.0,E0
93,200810,116,86,0.0,E0
94,200810,120,48,1.0,E0
95,200810,9,98,0.0,E0
96,200810,8,62,1.0,E0
97,200810,3,19,1.0,E0
98,200810,69,65,1.0,E0
99,200810,123,141,1.0,E0
100,200801,98,141,1.0,E0
101,200801,86,120,1.0,E0
102,200801,3,9,1.0,E0
103,200801,69,19,0.5,E0
104,200801,62,48,0.0,E0
105,200801,123,67,1.0,E0
106,200801,31,8,1.0,E0
107,200801,136,47,0.5,E0
108,200802,116,65,1.0,E0
109,200803,12,42,1.0,E0
110,200808,67,3,1.0,E0
111,200808,9,116,0.0,E0
112,200808,8,136,1.0,E0
113,200808,141,62,0.0,E0
114,200808,19,86,0.0,E0
115,200808,48,123,0.5,E0
116,200809,42,69,0.0,E0
117,200809,47,98,0.0,E0
118,200809,120,12,1.0,E0
119,200809,65,31,0.0,E0
120,200811,67,42,0.0,E0
121,200811,47,141,0.0,E0
122,200811,116,8,0.0,E0
123,200811,120,31,1.0,E0
124,200811,3,123,1.0,E0
125,200811,12,48,0.5,E0
126,200811,136,98,0.0,E0
127,200811,19,62,0.5,E0
128,200811,86,69,0.5,E0
129,200811,9,65,0.5,E0
130,200811,42,3,0.5,E0
131,200811,98,12,0.5,E0
132,200811,8,120,0.5,E0
133,200811,65,67,1.0,E0
134,200811,69,116,0.0,E0
135,200811,62,9,0.5,E0
136,200811,123,136,1.0,E0
137,200811,141,19,0.0,E0
138,200811,31,47,1.0,E0
139,200811,48,86,1.0,E0
140,200811,42,120,0.5,E0
141,200811,69,12,0.5,E0
142,200811,123,9,0.5,E0
143,200811,141,116,0.0,E0
144,200811,48,136,1.0,E0
145,200811,98,67,0.0,E0
146,200811,65,3,0.0,E0
147,200811,62,47,1.0,E0
148,200811,31,86,0.0,E0
149,200801,8,19,0.5,E0
150,200806,67,48,1.0,E0
151,200806,47,8,0.0,E0
152,200806,116,98,0.0,E0
153,200806,120,65,0.5,E0
154,200806,9,69,1.0,E0
155,200806,3,141,1.0,E0
156,200806,12,123,0.5,E0
157,200807,86,42,0.0,E0
158,200807,136,62,0.5,E0
159,200808,19,31,0.0,E0
160,200812,42,116,1.0,E0
161,200812,8,9,0.5,E0
162,200812,65,86,0.0,E0
163,200812,69,67,0.5,E0
164,200812,123,120,0.5,E0
165,200812,141,136,1.0,E0
166,200812,31,3,0.5,E0
167,200812,48,47,1.0,E0
168,200812,98,19,0.5,E0
169,200812,62,12,0.0,E0
170,200812,47,123,1.0,E0
171,200812,116,62,1.0,E0
172,200812,120,69,1.0,E0
173,200812,9,141,0.0,E0
174,200812,19,42,0.0,E0
175,200812,67,8,0.5,E0
176,200812,12,31,1.0,E0
177,200812,136,65,1.0,E0
178,200812,86,98,0.5,E0
179,200812,42,67,0.5,E0
180,200812,98,136,1.0,E0
181,200812,8,116,1.0,E0
182,200812,65,9,1.0,E0
183,200812,69,86,0.0,E0
184,200812,62,19,0.0,E0
185,200812,123,3,0.0,E0
186,200812,141,47,0.5,E0
187,200812,31,120,0.5,E0
188,200812,48,12,1.0,E0
189,200812,67,62,1.0,E0
190,200812,47,65,0.5,E0
191,200812,116,48,0.0,E0
192,200812,86,141,1.0,E0
193,200812,120,98,0.5,E0
194,200812,12,8,0.0,E0
195,200812,136,31,1.0,E0
196,200812,19,123,1.0,E0
197,200812,3,69,1.0,E0
198,200812,9,42,0.0,E0
199,200910,67,116,1.0,E0
200,200910,42,136,1.0,E0
201,200910,86,9,1.0,E0
202,200910,69,141,0.5,E0
203,200910,12,19,0.5,E0
204,200910,123,8,0.5,E0
205,200911,3,98,1.0,E0
206,200911,48,31,1.0,E0
207,200901,3,48,1.0,E0
208,200901,47,12,1.0,E0
209,200901,116,3,0.0,E0
210,200901,98,123,1.0,E0
