Player,Rating,KFactor,NumGames
3,2116,15,30
10,2421,10,30
16,2252,15,30
19,2352,25,10
22,2263,15,30
31,2057,15,30
32,2403,10,30
33,2328,15,30
34,2193,15,30
35,2146,15,30
36,2169,15,30
42,2392,10,30
43,2209,15,30
47,2099,15,30
52,2257,15,30
59,2324,15,30
62,2377,15,30
63,2146,15,30
66,2131,15,30
70,2017,15,30
74,2061,15,30
76,2260,15,30
77,2170,15,30
78,2234,15,30
89,2480,10,30
90,2282,15,30
91,2290,15,30
94,2352,15,30
104,2148,25,21
105,2285,15,30
119,2100,15,30
120,2384,10,30
136,2248,15,30
140,2136,15,30
146,2179,15,30
149,2320,15,30
151,2444,10,30
158,2277,15,30
163,2488,10,30
166,2393,10,30
168,2461,10,30
174,2190,25,27
177,2143,25,14
178,2593,10,30
180,2307,15,30
187,2214,15,30
188,2336,15,30
193,2338,15,30
196,2364,10,30
197,2247,15,30
199,2170,15,30
200,2190,15,30
205,2150,25,23
211,2124,15,30
212,2313,15,30
214,2188,15,30
215,2170,15,30
224,2368,15,30
226,2234,15,30
233,2465,10,30
236,2172,25,16
237,2354,15,30
238,2132,15,30
243,2196,15,30
245,2259,15,30
246,2594,10,30
248,2211,15,30
261,2121,25,12
265,2209,15,30
266,2239,15,30
271,2317,15,30
274,2328,15,30
277,2314,15,30
278,2398,10,30
279,2198,15,30
283,2185,15,30
292,2131,25,19
293,2253,15,30
296,2498,10,30
300,2351,15,30
305,2208,15,30
320,2553,10,30
326,2112,15,30
340,2259,15,30
342,2132,15,30
345,2220,15,30
346,2227,25,19
349,2282,15,30
354,2283,15,30
356,2293,15,30
359,2273,15,30
365,2087,25,26
376,2347,15,30
377,2167,25,16
387,2134,15,30
401,2206,25,24
402,2145,15,30
403,2014,25,9
407,2535,10,30
413,2050,25,26
420,2454,10,30
425,2258,15,30
434,2249,15,30
436,2198,15,30
437,2203,15,30
441,2224,25,26
444,2020,15,30
447,2112,15,30
450,2321,15,30
460,2189,15,30
464,2252,15,30
465,2186,15,30
466,2107,15,30
467,2328,15,30
468,2179,15,30
469,2276,15,30
473,2276,15,30
475,2319,15,30
479,2397,10,30
485,2166,15,30
492,2395,10,30
495,2030,15,30
509,2193,25,19
510,2121,15,30
512,2161,25,12
517,2179,15,30
521,2226,15,30
522,2097,25,11
523,2296,15,30
527,2192,15,30
536,2109,15,30
539,2314,15,30
544,2043,15,30
549,2068,15,30
552,2133,15,30
556,2460,10,30
562,2271,25,16
563,2319,15,30
569,2334,15,30
572,2142,25,11
573,2157,15,30
575,2215,15,30
580,2260,15,30
583,2280,15,30
585,2047,25,22
586,2143,15,30
587,2386,10,30
588,2181,25,21
594,2155,15,30
595,2391,15,30
600,2140,15,30
601,2261,15,30
602,2283,25,15
608,2222,15,30
609,2260,15,30
610,2169,15,30
618,2343,15,30
620,2146,15,30
623,2198,15,30
627,2503,10,30
633,2202,15,30
634,2276,15,30
638,2199,15,30
643,2273,15,30
648,2251,15,30
652,2112,15,30
656,2308,15,30
661,2478,10,30
665,2075,25,16
670,2106,25,13
674,2107,15,30
678,2261,15,30
687,2443,10,30
688,2150,15,30
689,2236,15,30
690,2251,15,30
691,2133,15,30
692,2429,10,30
707,2101,15,30
708,2114,25,15
710,2474,10,30
711,2215,15,30
713,2511,10,30
715,2179,25,13
721,2344,15,30
722,2138,15,30
723,2288,15,30
730,2111,15,30
731,2273,15,30
733,2262,15,30
735,2321,15,30
737,2347,15,30
740,2219,15,30
742,2125,15,30
753,2593,10,30
758,2221,15,30
763,2356,10,30
766,2123,15,30
768,2102,15,30
770,2203,15,30
775,2396,10,30
777,2262,15,30
778,2244,15,30
780,2341,15,30
781,2418,10,30
789,2108,25,11
790,2304,15,30
791,2082,15,30
792,2149,15,30
793,2285,15,30
796,2183,15,30
804,2112,25,19
811,2211,15,30
824,2210,25,13
826,2103,15,30
830,2400,10,30
833,2205,15,30
838,2342,10,30
839,2087,15,30
846,2344,15,30
849,2044,15,30
852,2313,15,30
856,2309,15,30
866,2213,15,30
867,2432,10,30
871,2148,15,30
873,2025,15,30
874,2101,25,23
877,2205,25,23
880,2109,15,30
883,2237,15,30
885,2074,15,30
886,2201,15,30
887,2055,15,30
895,2262,15,30
896,2179,25,22
898,2002,15,30
906,2015,25,11
911,2221,15,30
916,2267,15,30
920,2142,15,30
923,2029,15,30
927,2379,10,30
928,2150,15,30
935,2219,15,30
937,2483,10,30
941,2188,15,30
943,2334,15,30
948,2155,15,30
955,2272,25,17
965,2184,15,30
966,2409,10,30
971,2268,25,15
978,2145,15,30
980,2205,15,30
989,2543,10,30
998,2027,15,30
999,2455,10,30
1000,2197,15,30
1004,2259,15,30
1009,2372,10,30
1010,2250,15,30
1012,2450,10,30
1014,2110,15,30
1015,2334,15,30
1028,2024,25,25
1030,2216,15,30
1031,2189,15,30
1033,2435,10,30
1037,2166,25,21
1038,2245,15,30
1044,2204,25,15
1049,2472,10,30
1053,2333,15,30
1057,2202,15,30
1059,2279,25,25
1061,2226,15,30
1069,2134,15,30
1072,2147,15,30
1078,2369,10,30
1082,2209,15,30
1091,2325,25,13
1099,2110,25,9
1111,2064,25,23
1114,2205,25,16
1115,2230,15,30
1116,2460,10,30
1120,2125,15,30
1124,2651,10,30
1131,2156,15,30
1133,2077,15,30
1134,2108,15,30
1135,2219,15,30
1137,2184,15,30
1139,2200,15,30
1147,2121,15,30
1152,2071,25,15
1155,2089,15,30
1158,2238,15,30
1163,2017,15,30
1173,2054,15,30
1174,2075,15,30
1175,2151,15,30
1181,2054,25,19
1182,2350,15,30
1183,2159,15,30
1186,2165,15,30
1187,2475,10,30
1191,2090,15,30
1192,2026,15,30
1203,2260,15,30
1211,2166,25,11
1215,2458,10,30
1216,2280,15,30
1218,2307,10,30
1222,2113,15,30
1227,2095,15,30
1228,2125,15,30
1231,2236,15,30
1247,2165,15,30
1248,2181,15,30
1257,2163,25,21
1258,2170,15,30
1264,2373,10,30
1276,2318,15,30
1278,2096,15,30
1280,2155,25,21
1282,2194,15,30
1290,2452,10,30
1291,2190,25,10
1292,2134,15,30
1295,2062,25,24
1296,2065,25,14
1299,2286,15,30
1305,2250,15,30
1308,2274,15,30
1310,2233,15,30
1312,2104,25,17
1316,2169,25,22
1317,2146,15,30
1322,2010,15,30
1328,2225,15,30
1336,2132,15,30
1341,2438,10,30
1343,2181,15,30
1348,2141,25,22
1353,2407,10,30
1358,2339,15,30
1364,2161,15,30
1369,2150,15,30
1371,2216,15,30
1374,2314,10,30
1378,2140,15,30
1381,2061,25,13
1385,2517,10,30
1388,2084,15,30
1390,2370,15,30
1394,2187,15,30
1398,2275,15,30
1401,2222,15,30
1402,2121,15,30
1410,2112,15,30
1411,2077,15,30
1416,2142,15,30
1419,2533,10,30
1422,2239,15,30
1424,2099,15,30
1425,2247,15,30
1428,2165,15,30
1434,2324,25,15
1436,2304,15,30
1443,2496,10,30
1446,2184,15,30
1454,2240,15,30
1455,2272,15,30
1461,2261,25,23
1463,2222,15,30
1467,2354,15,30
1468,2158,15,30
1469,2410,10,30
1471,2247,15,30
1473,2010,25,11
1475,2151,15,30
1477,2087,15,30
1478,2097,15,30
1479,2123,25,9
1485,2168,15,30
1490,2243,25,15
1494,2292,15,30
1496,2392,10,30
1501,2173,25,15
1506,2526,10,30
1508,2285,10,30
1513,2313,15,30
1516,2296,25,23
1518,2201,15,30
1526,2071,25,15
1530,2208,25,28
1531,2328,15,30
1533,2258,15,30
1534,2229,15,30
1537,2235,15,30
1538,2125,15,30
1543,2213,25,17
1544,2346,15,30
1546,2337,15,30
1552,2324,15,30
1555,2232,25,20
1560,2628,10,30
1565,2051,15,30
1571,2159,15,30
1572,2243,15,30
1573,2142,15,30
1582,2172,15,30
1597,2352,10,30
1601,2360,15,30
1602,2319,25,29
1605,2184,25,27
1611,2305,15,30
1613,2228,15,30
1616,2143,15,30
1618,2186,15,30
1621,2250,15,30
1629,2401,10,30
1630,2378,10,30
1632,2311,15,30
1633,2087,25,12
1634,2129,25,21
1637,2163,15,30
1638,2016,15,30
1639,2092,25,23
1641,2161,25,19
1643,2133,15,30
1645,2221,25,11
1650,2295,10,30
1655,2132,25,18
1662,2282,15,30
1669,2414,10,30
1670,2365,15,30
1674,2027,15,30
1678,2038,15,30
1682,2393,10,30
1684,2119,15,30
1686,2033,15,30
1687,2447,10,30
1688,2286,15,30
1689,2013,15,30
1697,2455,10,30
1699,2129,15,30
